datetime,date,at_dry,at_wet,rh,raw,chk_note,chk_fail
14/12/1971 12:00:00,14/12/1971,0.00,0.00,71.00,71.00,"nc",""
15/12/1971 00:00:00,15/12/1971,0.00,0.00,0.00,0.00,"missing",""
16/12/1971 12:00:00,16/12/1971,0.00,0.00,78.00,78.00,"nc",""
17/12/1971 12:00:00,17/12/1971,0.00,0.00,70.00,70.00,"nc",""
18/12/1971 00:00:00,18/12/1971,0.00,0.00,0.00,0.00,"missing",""
19/12/1971 00:00:00,19/12/1971,0.00,0.00,0.00,0.00,"missing",""
20/12/1971 12:00:00,20/12/1971,0.00,0.00,61.00,61.00,"nc",""
21/12/1971 12:00:00,21/12/1971,0.00,0.00,63.00,63.00,"nc",""
22/12/1971 12:00:00,22/12/1971,0.00,0.00,67.00,67.00,"nc",""
23/12/1971 12:00:00,23/12/1971,0.00,0.00,62.00,62.00,"nc",""
24/12/1971 00:00:00,24/12/1971,0.00,0.00,0.00,0.00,"missing",""
25/12/1971 00:00:00,25/12/1971,0.00,0.00,0.00,0.00,"missing",""
26/12/1971 00:00:00,26/12/1971,0.00,0.00,0.00,0.00,"missing",""
27/12/1971 12:00:00,27/12/1971,0.00,0.00,66.00,66.00,"nc",""
28/12/1971 12:00:00,28/12/1971,0.00,0.00,66.00,66.00,"nc",""
29/12/1971 12:00:00,29/12/1971,0.00,0.00,77.00,77.00,"nc",""
30/12/1971 12:00:00,30/12/1971,0.00,0.00,77.00,77.00,"nc",""
31/12/1971 00:00:00,31/12/1971,0.00,0.00,0.00,0.00,"missing",""
01/01/1972 00:00:00,01/01/1972,0.00,0.00,0.00,0.00,"missing",""
02/01/1972 00:00:00,02/01/1972,0.00,0.00,0.00,0.00,"missing",""
03/01/1972 12:00:00,03/01/1972,0.00,0.00,82.00,82.00,"nc",""
04/01/1972 12:00:00,04/01/1972,0.00,0.00,78.00,78.00,"nc",""
05/01/1972 12:00:00,05/01/1972,0.00,0.00,91.00,91.00,"nc",""
06/01/1972 12:00:00,06/01/1972,0.00,0.00,93.00,93.00,"nc",""
07/01/1972 12:00:00,07/01/1972,0.00,0.00,98.00,98.00,"nc",""
08/01/1972 00:00:00,08/01/1972,0.00,0.00,0.00,0.00,"missing",""
09/01/1972 00:00:00,09/01/1972,0.00,0.00,0.00,0.00,"missing",""
10/01/1972 12:00:00,10/01/1972,0.00,0.00,77.00,77.00,"nc",""
11/01/1972 12:00:00,11/01/1972,0.00,0.00,88.00,88.00,"nc",""
12/01/1972 12:00:00,12/01/1972,0.00,0.00,82.00,82.00,"nc",""
13/01/1972 12:00:00,13/01/1972,0.00,0.00,75.00,75.00,"nc",""
14/01/1972 12:00:00,14/01/1972,0.00,0.00,96.00,96.00,"nc",""
15/01/1972 00:00:00,15/01/1972,0.00,0.00,0.00,0.00,"missing",""
16/01/1972 00:00:00,16/01/1972,0.00,0.00,0.00,0.00,"missing",""
17/01/1972 00:00:00,17/01/1972,0.00,0.00,0.00,0.00,"missing",""
18/01/1972 12:00:00,18/01/1972,0.00,0.00,89.00,89.00,"nc",""
19/01/1972 12:00:00,19/01/1972,0.00,0.00,72.00,72.00,"nc",""
20/01/1972 12:00:00,20/01/1972,0.00,0.00,80.00,80.00,"nc",""
21/01/1972 12:00:00,21/01/1972,0.00,0.00,72.00,72.00,"nc",""
22/01/1972 00:00:00,22/01/1972,0.00,0.00,0.00,0.00,"missing",""
23/01/1972 00:00:00,23/01/1972,0.00,0.00,0.00,0.00,"missing",""
24/01/1972 12:00:00,24/01/1972,0.00,0.00,63.00,63.00,"nc",""
25/01/1972 12:00:00,25/01/1972,0.00,0.00,69.00,69.00,"nc",""
26/01/1972 12:00:00,26/01/1972,0.00,0.00,65.00,65.00,"nc",""
27/01/1972 12:00:00,27/01/1972,0.00,0.00,66.00,66.00,"nc",""
28/01/1972 12:00:00,28/01/1972,0.00,0.00,67.00,67.00,"nc",""
29/01/1972 00:00:00,29/01/1972,0.00,0.00,0.00,0.00,"missing",""
30/01/1972 00:00:00,30/01/1972,0.00,0.00,0.00,0.00,"missing",""
31/01/1972 12:00:00,31/01/1972,0.00,0.00,76.00,76.00,"nc",""
01/02/1972 12:00:00,01/02/1972,0.00,0.00,75.00,75.00,"nc",""
02/02/1972 12:00:00,02/02/1972,0.00,0.00,73.00,73.00,"nc",""
03/02/1972 12:00:00,03/02/1972,0.00,0.00,80.00,80.00,"nc",""
04/02/1972 12:00:00,04/02/1972,0.00,0.00,67.00,67.00,"nc",""
05/02/1972 00:00:00,05/02/1972,0.00,0.00,0.00,0.00,"missing",""
06/02/1972 00:00:00,06/02/1972,0.00,0.00,0.00,0.00,"missing",""
07/02/1972 12:00:00,07/02/1972,0.00,0.00,69.00,69.00,"nc",""
08/02/1972 12:00:00,08/02/1972,0.00,0.00,71.00,71.00,"nc",""
09/02/1972 12:00:00,09/02/1972,0.00,0.00,78.00,78.00,"nc",""
10/02/1972 12:00:00,10/02/1972,0.00,0.00,73.00,73.00,"nc",""
11/02/1972 12:00:00,11/02/1972,0.00,0.00,67.00,67.00,"nc",""
12/02/1972 00:00:00,12/02/1972,0.00,0.00,0.00,0.00,"missing",""
13/02/1972 00:00:00,13/02/1972,0.00,0.00,0.00,0.00,"missing",""
14/02/1972 12:00:00,14/02/1972,0.00,0.00,64.00,64.00,"nc",""
15/02/1972 12:00:00,15/02/1972,0.00,0.00,65.00,65.00,"nc",""
16/02/1972 12:00:00,16/02/1972,0.00,0.00,67.00,67.00,"nc",""
17/02/1972 12:00:00,17/02/1972,0.00,0.00,63.00,63.00,"nc",""
18/02/1972 12:00:00,18/02/1972,0.00,0.00,70.00,70.00,"nc",""
19/02/1972 00:00:00,19/02/1972,0.00,0.00,0.00,0.00,"missing",""
20/02/1972 00:00:00,20/02/1972,0.00,0.00,0.00,0.00,"missing",""
21/02/1972 00:00:00,21/02/1972,0.00,0.00,0.00,0.00,"missing",""
22/02/1972 12:00:00,22/02/1972,0.00,0.00,61.00,61.00,"nc",""
23/02/1972 12:00:00,23/02/1972,0.00,0.00,92.00,92.00,"nc",""
24/02/1972 12:00:00,24/02/1972,0.00,0.00,66.00,66.00,"nc",""
25/02/1972 12:00:00,25/02/1972,0.00,0.00,81.00,81.00,"nc",""
26/02/1972 00:00:00,26/02/1972,0.00,0.00,0.00,0.00,"missing",""
27/02/1972 00:00:00,27/02/1972,0.00,0.00,0.00,0.00,"missing",""
28/02/1972 12:00:00,28/02/1972,0.00,0.00,68.00,68.00,"nc",""
29/02/1972 12:00:00,29/02/1972,0.00,0.00,70.00,70.00,"nc",""
01/03/1972 12:00:00,01/03/1972,0.00,0.00,68.00,68.00,"nc",""
02/03/1972 12:00:00,02/03/1972,0.00,0.00,75.00,75.00,"nc",""
03/03/1972 00:00:00,03/03/1972,0.00,0.00,0.00,0.00,"missing",""
04/03/1972 00:00:00,04/03/1972,0.00,0.00,0.00,0.00,"missing",""
05/03/1972 00:00:00,05/03/1972,0.00,0.00,0.00,0.00,"missing",""
06/03/1972 12:00:00,06/03/1972,0.00,0.00,65.00,65.00,"nc",""
07/03/1972 12:00:00,07/03/1972,0.00,0.00,62.00,62.00,"nc",""
08/03/1972 12:00:00,08/03/1972,0.00,0.00,62.00,62.00,"nc",""
09/03/1972 12:00:00,09/03/1972,0.00,0.00,60.00,60.00,"nc",""
10/03/1972 12:00:00,10/03/1972,0.00,0.00,67.00,67.00,"nc",""
11/03/1972 00:00:00,11/03/1972,0.00,0.00,0.00,0.00,"missing",""
12/03/1972 00:00:00,12/03/1972,0.00,0.00,0.00,0.00,"missing",""
13/03/1972 12:00:00,13/03/1972,0.00,0.00,67.00,67.00,"nc",""
14/03/1972 12:00:00,14/03/1972,0.00,0.00,63.00,63.00,"nc",""
15/03/1972 12:00:00,15/03/1972,0.00,0.00,67.00,67.00,"nc",""
16/03/1972 12:00:00,16/03/1972,0.00,0.00,61.00,61.00,"nc",""
17/03/1972 12:00:00,17/03/1972,0.00,0.00,60.00,60.00,"nc",""
18/03/1972 00:00:00,18/03/1972,0.00,0.00,0.00,0.00,"missing",""
19/03/1972 00:00:00,19/03/1972,0.00,0.00,0.00,0.00,"missing",""
20/03/1972 12:00:00,20/03/1972,0.00,0.00,69.00,69.00,"nc",""
21/03/1972 12:00:00,21/03/1972,0.00,0.00,69.00,69.00,"nc",""
