datetime,date,atmx,raw,chk_note,chk_fail
09/08/1971 12:00:00,09/08/1971,31.5000,31.5000,"nc",""
10/08/1971 12:00:00,10/08/1971,30.5000,30.5000,"nc",""
11/08/1971 12:00:00,11/08/1971,27.5000,27.5000,"nc",""
12/08/1971 12:00:00,12/08/1971,31.0000,31.0000,"nc",""
13/08/1971 12:00:00,13/08/1971,30.0000,30.0000,"nc",""
16/08/1971 12:00:00,16/08/1971,30.0000,30.0000,"nc",""
17/08/1971 12:00:00,17/08/1971,31.5000,31.5000,"nc",""
18/08/1971 12:00:00,18/08/1971,32.0000,32.0000,"nc",""
19/08/1971 12:00:00,19/08/1971,31.5000,31.5000,"nc",""
22/08/1971 12:00:00,22/08/1971,32.0000,32.0000,"nc",""
23/08/1971 12:00:00,23/08/1971,32.0000,32.0000,"nc",""
24/08/1971 12:00:00,24/08/1971,31.0000,31.0000,"nc",""
25/08/1971 12:00:00,25/08/1971,30.5000,30.5000,"nc",""
26/08/1971 12:00:00,26/08/1971,31.5000,31.5000,"nc",""
27/08/1971 12:00:00,27/08/1971,30.0000,30.0000,"nc",""
29/08/1971 12:00:00,29/08/1971,31.0000,31.0000,"nc",""
30/08/1971 12:00:00,30/08/1971,33.0000,33.0000,"nc",""
31/08/1971 12:00:00,31/08/1971,32.0000,32.0000,"nc",""
01/09/1971 12:00:00,01/09/1971,31.5000,31.5000,"nc",""
02/09/1971 12:00:00,02/09/1971,31.0000,31.0000,"nc",""
03/09/1971 12:00:00,03/09/1971,32.0000,32.0000,"nc",""
06/09/1971 12:00:00,06/09/1971,31.5000,31.5000,"nc",""
07/09/1971 12:00:00,07/09/1971,31.0000,31.0000,"nc",""
08/09/1971 12:00:00,08/09/1971,33.0000,33.0000,"nc",""
09/09/1971 12:00:00,09/09/1971,32.0000,32.0000,"nc",""
10/09/1971 12:00:00,10/09/1971,30.0000,30.0000,"nc",""
11/09/1971 12:00:00,11/09/1971,30.0000,30.0000,"nc",""
12/09/1971 12:00:00,12/09/1971,33.5000,33.5000,"nc",""
13/09/1971 12:00:00,13/09/1971,30.0000,30.0000,"nc",""
14/09/1971 12:00:00,14/09/1971,31.5000,31.5000,"nc",""
15/09/1971 12:00:00,15/09/1971,29.5000,29.5000,"nc",""
16/09/1971 12:00:00,16/09/1971,31.5000,31.5000,"nc",""
17/09/1971 12:00:00,17/09/1971,32.0000,32.0000,"nc",""
20/09/1971 12:00:00,20/09/1971,30.5000,30.5000,"nc",""
21/09/1971 12:00:00,21/09/1971,31.5000,31.5000,"nc",""
22/09/1971 12:00:00,22/09/1971,30.0000,30.0000,"nc",""
23/09/1971 12:00:00,23/09/1971,30.5000,30.5000,"nc",""
24/09/1971 12:00:00,24/09/1971,32.0000,32.0000,"nc",""
25/09/1971 12:00:00,25/09/1971,28.5000,28.5000,"nc",""
28/09/1971 12:00:00,28/09/1971,32.0000,32.0000,"nc",""
29/09/1971 12:00:00,29/09/1971,28.5000,28.5000,"nc",""
30/09/1971 12:00:00,30/09/1971,30.0000,30.0000,"nc",""
01/10/1971 12:00:00,01/10/1971,32.5000,32.5000,"nc",""
02/10/1971 12:00:00,02/10/1971,31.5000,31.5000,"nc",""
04/10/1971 12:00:00,04/10/1971,30.5000,30.5000,"nc",""
05/10/1971 12:00:00,05/10/1971,30.0000,30.0000,"nc",""
06/10/1971 12:00:00,06/10/1971,32.0000,32.0000,"nc",""
07/10/1971 12:00:00,07/10/1971,32.0000,32.0000,"nc",""
08/10/1971 12:00:00,08/10/1971,32.5000,32.5000,"nc",""
09/10/1971 12:00:00,09/10/1971,31.0000,31.0000,"nc",""
12/10/1971 12:00:00,12/10/1971,31.5000,31.5000,"nc",""
13/10/1971 12:00:00,13/10/1971,32.5000,32.5000,"nc",""
14/10/1971 12:00:00,14/10/1971,32.5000,32.5000,"nc",""
18/10/1971 12:00:00,18/10/1971,31.5000,31.5000,"nc",""
19/10/1971 12:00:00,19/10/1971,32.0000,32.0000,"nc",""
20/10/1971 12:00:00,20/10/1971,30.5000,30.5000,"nc",""
21/10/1971 12:00:00,21/10/1971,31.5000,31.5000,"nc",""
22/10/1971 12:00:00,22/10/1971,32.0000,32.0000,"nc",""
25/10/1971 12:00:00,25/10/1971,31.5000,31.5000,"nc",""
26/10/1971 12:00:00,26/10/1971,32.5000,32.5000,"nc",""
27/10/1971 12:00:00,27/10/1971,31.5000,31.5000,"nc",""
28/10/1971 12:00:00,28/10/1971,32.0000,32.0000,"nc",""
29/10/1971 12:00:00,29/10/1971,32.0000,32.0000,"nc",""
30/10/1971 12:00:00,30/10/1971,31.0000,31.0000,"nc",""
31/10/1971 12:00:00,31/10/1971,29.5000,29.5000,"nc",""
01/11/1971 12:00:00,01/11/1971,30.0000,30.0000,"nc",""
02/11/1971 12:00:00,02/11/1971,29.0000,29.0000,"nc",""
04/11/1971 12:00:00,04/11/1971,31.0000,31.0000,"nc",""
05/11/1971 12:00:00,05/11/1971,30.0000,30.0000,"nc",""
07/11/1971 12:00:00,07/11/1971,31.0000,31.0000,"nc",""
08/11/1971 12:00:00,08/11/1971,30.0000,30.0000,"nc",""
09/11/1971 12:00:00,09/11/1971,28.0000,28.0000,"nc",""
10/11/1971 12:00:00,10/11/1971,32.0000,32.0000,"nc",""
11/11/1971 12:00:00,11/11/1971,28.0000,28.0000,"nc",""
12/11/1971 12:00:00,12/11/1971,27.0000,27.0000,"nc",""
13/11/1971 12:00:00,13/11/1971,30.0000,30.0000,"nc",""
15/11/1971 12:00:00,15/11/1971,30.5000,30.5000,"nc",""
16/11/1971 12:00:00,16/11/1971,30.0000,30.0000,"nc",""
17/11/1971 12:00:00,17/11/1971,30.0000,30.0000,"nc",""
18/11/1971 12:00:00,18/11/1971,26.0000,26.0000,"nc",""
19/11/1971 12:00:00,19/11/1971,32.0000,32.0000,"nc",""
21/11/1971 12:00:00,21/11/1971,31.5000,31.5000,"nc",""
22/11/1971 12:00:00,22/11/1971,32.0000,32.0000,"nc",""
23/11/1971 12:00:00,23/11/1971,32.0000,32.0000,"nc",""
24/11/1971 12:00:00,24/11/1971,32.0000,32.0000,"nc",""
25/11/1971 12:00:00,25/11/1971,31.0000,31.0000,"nc",""
26/11/1971 12:00:00,26/11/1971,31.0000,31.0000,"nc",""
29/11/1971 12:00:00,29/11/1971,31.5000,31.5000,"nc",""
30/11/1971 12:00:00,30/11/1971,29.0000,29.0000,"nc",""
01/12/1971 12:00:00,01/12/1971,31.0000,31.0000,"nc",""
02/12/1971 12:00:00,02/12/1971,31.0000,31.0000,"nc",""
03/12/1971 12:00:00,03/12/1971,33.0000,33.0000,"nc",""
06/12/1971 12:00:00,06/12/1971,32.5000,32.5000,"nc",""
07/12/1971 12:00:00,07/12/1971,32.5000,32.5000,"nc",""
08/12/1971 12:00:00,08/12/1971,32.5000,32.5000,"nc",""
09/12/1971 12:00:00,09/12/1971,32.5000,32.5000,"nc",""
10/12/1971 12:00:00,10/12/1971,32.0000,32.0000,"nc",""
13/12/1971 12:00:00,13/12/1971,33.0000,33.0000,"nc",""
14/12/1971 12:00:00,14/12/1971,32.0000,32.0000,"nc",""
15/12/1971 12:00:00,15/12/1971,32.0000,32.0000,"nc",""
16/12/1971 12:00:00,16/12/1971,32.5000,32.5000,"nc",""
17/12/1971 12:00:00,17/12/1971,32.0000,32.0000,"nc",""
20/12/1971 12:00:00,20/12/1971,32.0000,32.0000,"nc",""
21/12/1971 12:00:00,21/12/1971,32.5000,32.5000,"nc",""
22/12/1971 12:00:00,22/12/1971,32.0000,32.0000,"nc",""
23/12/1971 12:00:00,23/12/1971,32.0000,32.0000,"nc",""
24/12/1971 12:00:00,24/12/1971,31.5000,31.5000,"nc",""
25/12/1971 12:00:00,25/12/1971,30.5000,30.5000,"nc",""
27/12/1971 12:00:00,27/12/1971,31.5000,31.5000,"nc",""
28/12/1971 12:00:00,28/12/1971,32.0000,32.0000,"nc",""
29/12/1971 12:00:00,29/12/1971,31.5000,31.5000,"nc",""
30/12/1971 12:00:00,30/12/1971,31.0000,31.0000,"nc",""
31/12/1971 12:00:00,31/12/1971,31.0000,31.0000,"nc",""
02/01/1972 12:00:00,02/01/1972,32.0000,32.0000,"nc",""
03/01/1972 12:00:00,03/01/1972,33.0000,33.0000,"nc",""
04/01/1972 12:00:00,04/01/1972,30.0000,30.0000,"nc",""
05/01/1972 12:00:00,05/01/1972,29.5000,29.5000,"nc",""
06/01/1972 12:00:00,06/01/1972,27.5000,27.5000,"nc",""
09/01/1972 12:00:00,09/01/1972,29.0000,29.0000,"nc",""
10/01/1972 12:00:00,10/01/1972,30.0000,30.0000,"nc",""
11/01/1972 12:00:00,11/01/1972,29.5000,29.5000,"nc",""
12/01/1972 12:00:00,12/01/1972,31.5000,31.5000,"nc",""
13/01/1972 12:00:00,13/01/1972,32.0000,32.0000,"nc",""
16/01/1972 12:00:00,16/01/1972,31.5000,31.5000,"nc",""
17/01/1972 12:00:00,17/01/1972,28.0000,28.0000,"nc",""
18/01/1972 12:00:00,18/01/1972,28.5000,28.5000,"nc",""
19/01/1972 12:00:00,19/01/1972,30.0000,30.0000,"nc",""
20/01/1972 12:00:00,20/01/1972,30.5000,30.5000,"nc",""
21/01/1972 12:00:00,21/01/1972,30.0000,30.0000,"nc",""
22/01/1972 12:00:00,22/01/1972,29.5000,29.5000,"nc",""
23/01/1972 12:00:00,23/01/1972,31.0000,31.0000,"nc",""
24/01/1972 12:00:00,24/01/1972,31.0000,31.0000,"nc",""
25/01/1972 12:00:00,25/01/1972,31.0000,31.0000,"nc",""
26/01/1972 12:00:00,26/01/1972,31.5000,31.5000,"nc",""
27/01/1972 12:00:00,27/01/1972,31.0000,31.0000,"nc",""
30/01/1972 12:00:00,30/01/1972,31.0000,31.0000,"nc",""
31/01/1972 12:00:00,31/01/1972,29.5000,29.5000,"nc",""
01/02/1972 12:00:00,01/02/1972,31.5000,31.5000,"nc",""
02/02/1972 12:00:00,02/02/1972,31.5000,31.5000,"nc",""
03/02/1972 12:00:00,03/02/1972,31.5000,31.5000,"nc",""
06/02/1972 12:00:00,06/02/1972,31.5000,31.5000,"nc",""
07/02/1972 12:00:00,07/02/1972,31.5000,31.5000,"nc",""
08/02/1972 12:00:00,08/02/1972,30.5000,30.5000,"nc",""
09/02/1972 12:00:00,09/02/1972,28.5000,28.5000,"nc",""
10/02/1972 12:00:00,10/02/1972,31.5000,31.5000,"nc",""
13/02/1972 12:00:00,13/02/1972,30.5000,30.5000,"nc",""
14/02/1972 12:00:00,14/02/1972,31.5000,31.5000,"nc",""
15/02/1972 12:00:00,15/02/1972,31.0000,31.0000,"nc",""
16/02/1972 12:00:00,16/02/1972,30.5000,30.5000,"nc",""
17/02/1972 12:00:00,17/02/1972,31.0000,31.0000,"nc",""
21/02/1972 12:00:00,21/02/1972,31.0000,31.0000,"nc",""
22/02/1972 12:00:00,22/02/1972,31.0000,31.0000,"nc",""
23/02/1972 12:00:00,23/02/1972,30.5000,30.5000,"nc",""
24/02/1972 12:00:00,24/02/1972,31.5000,31.5000,"nc",""
27/02/1972 12:00:00,27/02/1972,32.0000,32.0000,"nc",""
28/02/1972 12:00:00,28/02/1972,31.5000,31.5000,"nc",""
29/02/1972 12:00:00,29/02/1972,32.5000,32.5000,"nc",""
01/03/1972 12:00:00,01/03/1972,32.0000,32.0000,"nc",""
02/03/1972 12:00:00,02/03/1972,30.0000,30.0000,"nc",""
05/03/1972 12:00:00,05/03/1972,32.5000,32.5000,"nc",""
06/03/1972 12:00:00,06/03/1972,31.5000,31.5000,"nc",""
07/03/1972 12:00:00,07/03/1972,32.0000,32.0000,"nc",""
08/03/1972 12:00:00,08/03/1972,32.0000,32.0000,"nc",""
09/03/1972 12:00:00,09/03/1972,31.0000,31.0000,"nc",""
10/03/1972 12:00:00,10/03/1972,30.5000,30.5000,"nc",""
12/03/1972 12:00:00,12/03/1972,31.5000,31.5000,"nc",""
13/03/1972 12:00:00,13/03/1972,32.0000,32.0000,"nc",""
14/03/1972 12:00:00,14/03/1972,31.5000,31.5000,"nc",""
15/03/1972 12:00:00,15/03/1972,31.0000,31.0000,"nc",""
16/03/1972 12:00:00,16/03/1972,32.0000,32.0000,"nc",""
19/03/1972 12:00:00,19/03/1972,33.0000,33.0000,"nc",""
20/03/1972 12:00:00,20/03/1972,32.0000,32.0000,"nc",""
21/03/1972 12:00:00,21/03/1972,32.0000,32.0000,"nc",""
22/03/1972 12:00:00,22/03/1972,33.0000,33.0000,"nc",""
23/03/1972 12:00:00,23/03/1972,32.5000,32.5000,"nc",""
26/03/1972 12:00:00,26/03/1972,33.0000,33.0000,"nc",""
27/03/1972 12:00:00,27/03/1972,32.5000,32.5000,"nc",""
28/03/1972 12:00:00,28/03/1972,33.0000,33.0000,"nc",""
29/03/1972 12:00:00,29/03/1972,32.5000,32.5000,"nc",""
02/04/1972 12:00:00,02/04/1972,34.0000,34.0000,"nc",""
03/04/1972 12:00:00,03/04/1972,33.0000,33.0000,"nc",""
04/04/1972 12:00:00,04/04/1972,32.5000,32.5000,"nc",""
05/04/1972 12:00:00,05/04/1972,33.0000,33.0000,"nc",""
06/04/1972 12:00:00,06/04/1972,32.0000,32.0000,"nc",""
09/04/1972 12:00:00,09/04/1972,32.5000,32.5000,"nc",""
10/04/1972 12:00:00,10/04/1972,32.5000,32.5000,"nc",""
11/04/1972 12:00:00,11/04/1972,28.5000,28.5000,"nc",""
12/04/1972 12:00:00,12/04/1972,31.5000,31.5000,"nc",""
13/04/1972 12:00:00,13/04/1972,32.5000,32.5000,"nc",""
16/04/1972 12:00:00,16/04/1972,33.5000,33.5000,"nc",""
17/04/1972 12:00:00,17/04/1972,33.0000,33.0000,"nc",""
18/04/1972 12:00:00,18/04/1972,30.5000,30.5000,"nc",""
19/04/1972 12:00:00,19/04/1972,29.5000,29.5000,"nc",""
20/04/1972 12:00:00,20/04/1972,29.0000,29.0000,"nc",""
23/04/1972 12:00:00,23/04/1972,31.0000,31.0000,"nc",""
24/04/1972 12:00:00,24/04/1972,30.0000,30.0000,"nc",""
25/04/1972 12:00:00,25/04/1972,31.0000,31.0000,"nc",""
26/04/1972 12:00:00,26/04/1972,33.0000,33.0000,"nc",""
27/04/1972 12:00:00,27/04/1972,33.0000,33.0000,"nc",""
30/04/1972 12:00:00,30/04/1972,33.0000,33.0000,"nc",""
01/05/1972 12:00:00,01/05/1972,32.0000,32.0000,"nc",""
02/05/1972 12:00:00,02/05/1972,30.5000,30.5000,"nc",""
03/05/1972 12:00:00,03/05/1972,31.0000,31.0000,"nc",""
04/05/1972 12:00:00,04/05/1972,32.0000,32.0000,"nc",""
07/05/1972 12:00:00,07/05/1972,33.0000,33.0000,"nc",""
08/05/1972 12:00:00,08/05/1972,32.5000,32.5000,"nc",""
09/05/1972 12:00:00,09/05/1972,29.0000,29.0000,"nc",""
10/05/1972 12:00:00,10/05/1972,32.0000,32.0000,"nc",""
11/05/1972 12:00:00,11/05/1972,32.5000,32.5000,"nc",""
14/05/1972 12:00:00,14/05/1972,33.5000,33.5000,"nc",""
15/05/1972 12:00:00,15/05/1972,30.5000,30.5000,"nc",""
16/05/1972 12:00:00,16/05/1972,32.0000,32.0000,"nc",""
17/05/1972 12:00:00,17/05/1972,33.5000,33.5000,"nc",""
18/05/1972 12:00:00,18/05/1972,33.5000,33.5000,"nc",""
21/05/1972 12:00:00,21/05/1972,33.0000,33.0000,"nc",""
22/05/1972 12:00:00,22/05/1972,32.0000,32.0000,"nc",""
23/05/1972 12:00:00,23/05/1972,32.5000,32.5000,"nc",""
24/05/1972 12:00:00,24/05/1972,32.0000,32.0000,"nc",""
25/05/1972 12:00:00,25/05/1972,30.5000,30.5000,"nc",""
29/05/1972 12:00:00,29/05/1972,32.0000,32.0000,"nc",""
30/05/1972 12:00:00,30/05/1972,32.0000,32.0000,"nc",""
31/05/1972 12:00:00,31/05/1972,31.5000,31.5000,"nc",""
01/06/1972 12:00:00,01/06/1972,32.5000,32.5000,"nc",""
04/06/1972 12:00:00,04/06/1972,33.0000,33.0000,"nc",""
05/06/1972 12:00:00,05/06/1972,33.0000,33.0000,"nc",""
06/06/1972 12:00:00,06/06/1972,33.0000,33.0000,"nc",""
07/06/1972 12:00:00,07/06/1972,27.5000,27.5000,"nc",""
08/06/1972 12:00:00,08/06/1972,30.0000,30.0000,"nc",""
11/06/1972 12:00:00,11/06/1972,30.5000,30.5000,"nc",""
12/06/1972 12:00:00,12/06/1972,32.0000,32.0000,"nc",""
13/06/1972 12:00:00,13/06/1972,32.0000,32.0000,"nc",""
14/06/1972 12:00:00,14/06/1972,32.0000,32.0000,"nc",""
15/06/1972 12:00:00,15/06/1972,32.5000,32.5000,"nc",""
18/06/1972 12:00:00,18/06/1972,-999.0000,-999.0000,"nc",""
19/06/1972 12:00:00,19/06/1972,30.5000,30.5000,"nc",""
20/06/1972 12:00:00,20/06/1972,26.5000,26.5000,"nc",""
21/06/1972 12:00:00,21/06/1972,32.5000,32.5000,"nc",""
22/06/1972 12:00:00,22/06/1972,32.0000,32.0000,"nc",""
